CORR.,Brand,Model.Number,BrandModel,Price,Photo,Engine.Type,Body.Type,Fuel.Type,Gearbox.Type,Power.hp,Displacement.l,Torque.lbft,Cylinders,Drivetrain,MPG.City,MPG.Highway,Seats,Doors,Height.in,Length.in,Width.in,Wheelbase.in,Clearance.in,Air.Conditioner,Heater,AntiLock.Braking.System,Central.Locking,Power.Steering,Power.Windows,Leather.Seats,Anti.Lock.Braking,Brake.Assist,Central.Locking.1,Power.Door.Locks,Child.Safety.Locks,Night.Rear.View.Mirror,Rear.Seat.Belts,Door.Ajar.Warning,Adjustable.Seats,Crash.Sensor,Engine.Check.Warning,Rear.Camera,Anti.Theft.Device,Touch.Screen,Audio.System.Remote.Control,Speakers.Front...back,Bluetooth.Connectivity,USB...Auxiliary.Input,Adjustable.Steering.Column,Height.Adjustable.Driving.Seat,Digital.Clock,Smoke.Headlamps,Electric.Folding.Rear.View.Mirror,Automatic.Climate.Control,Low.Fuel.Warning.Light,Parking.Sensors,Bottle.Holder,Voice.Control,Seat.Belt.Warning,Vehicle.Stability.Control.System,Engine.Immobilizer,Rear.Reading.Lamp,Radio,Outside.Temperature.Display,Fog.Lights.Front...Back,Centrally.Mounted.Fuel.Tank,CD.Player,DVD.Player,Electric.Adjustable.Seats,Keyless.Entry,Tyre.Pressure.Monitor,Smart.Access.Card.Entry,Xenon.Headlamps,Halogen.Headlamps,Removable.Convertible.Top,Cassette.Player
43,Honda,Ridgeline RTL-E 2023,HONDARIDGELINE RTL-E 2023,44730,https://www.ccarprice.com/products/Honda_Ridgeline_RTL-E_AWD_2023.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,280,3.5,262,6,all,18,24,5,4,70.8,210.2,78.6,125.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
44,Honda,Fit LX 2022,HONDAFIT LX 2022,16190,https://www.ccarprice.com/products/Honda_Fit_LX_2022.jpg,1.5L Inline-4 Gas,Hatchback,Petrol,Manual,130,1.5,114,4,front,29,36,5,4,60,161.4,67,99.6,4.4,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
45,Honda,HR V EX L 2022,HONDAHR V EX L 2022,21870,https://www.ccarprice.com/products/Honda_HR_V_EX_L_2022.jpg,1.8L Inline-4 Gas,SUV,Petrol,CVT,141,1.8,127,4,all,28,34,5,4,63.2,170.9,70.5,102.8,5.4,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
46,Honda,Ridgeline RTL 2023,HONDARIDGELINE RTL 2023,41780,https://www.ccarprice.com/products/Honda_Ridgeline_RTL_2023_1.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,280,3.5,262,6,all,18,24,5,4,70.8,210.2,78.6,125.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
47,Honda,Ridgeline Sport 2023,HONDARIDGELINE SPORT 2023,38800,https://www.ccarprice.com/products/Honda_Ridgeline_Sport_2023.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,280,3.5,262,6,all,18,24,5,4,70.8,210.2,78.6,125.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
48,Honda,Passport EX-L AWD 2022,HONDAPASSPORT EX-L AWD 2022,39970,https://www.ccarprice.com/products/Honda_Passport_EXL_AWD_2022.jpg,3.5-liter V6 Gas,SUV,Petrol,Automatic,280,3.5,262,NA,all,19,24,5,4,72.2,189.1,78.6,111,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,Yes,,,,,,
49,Honda,HR-V EX-L 2023,HONDAHR-V EX-L 2023,27450,https://www.ccarprice.com/products/Honda_HR-V_EX-L_2023_1.jpg,2.0L Inline-4 Gas,SUV,Petrol,CVT,158,2,138,4,front,26,32,5,4,63.4,179.8,72.4,104.5,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,,,,Yes,,,,,,
50,Honda,CR-V EX 2023,HONDACR-V EX 2023,32350,https://www.ccarprice.com/products/Honda_CR-V_EX_2023_1.jpg,1.5-liter Turbo Inline-4 Gas,SUV,Petrol,CVT,190,1.5,179,4,front,28,34,5,4,66.1,182.1,73,104.8,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,
51,Honda,HR-V EX-L 2022,HONDAHR-V EX-L 2022,26570,https://www.ccarprice.com/products/Honda_HR-V_EX-L_AWD_2022.jpg,1.8-liter Inline-4 Gas,SUV,Petrol,CVT,141,1.8,127,4,front,28,34,5,4,63.2,170.4,69.8,102.8,5.4,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,,,,Yes,,,,,,
52,Honda,HR-V EX-L 2022,HONDAHR-V EX-L 2022,25070,https://www.ccarprice.com/products/Honda_HR-V_EX-L_2022.jpg,1.8L Inline-4 Gas,SUV,Petrol,CVT,141,1.8,127,4,front,28,34,5,4,63.2,170.4,69.8,102.8,5.4,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,,,,Yes,,,,,,
53,Honda,HR-V 2023,HONDAHR-V 2023,23650,https://www.ccarprice.com/products/Honda_HR-V_2023_1.jpg,2.0L Inline-4 Gas,SUV,Petrol,CVT,158,2,138,4,front,26,32,5,4,63.4,179.8,72.4,104.5,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,Yes,,,,Yes,,,,,,
54,Honda,HR-V Sport 2023,HONDAHR-V SPORT 2023,26890,https://www.ccarprice.com/products/Honda_HR-V_LX_Sport_2023.jpg,2.0L Inline-4 Gas,SUV,Petrol,CVT,158,2,138,4,front,26,32,5,4,63.8,179.8,72.4,104.5,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,Yes,,,,Yes,,,,,,
55,Honda,HR-V Sport AWD 2022,HONDAHR-V SPORT AWD 2022,25320,https://www.ccarprice.com/products/Honda_HR-V_Sport_AWD_2022.jpg,1.8L Inline-4 Gas,SUV,Petrol,CVT,141,1.8,127,4,all,26,31,5,4,63.2,170.9,70.5,102.8,5.4,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,Yes,,,,Yes,,,,,,
56,Honda,Pilot TrailSport 2022,HONDAPILOT TRAILSPORT 2022,44310,https://www.ccarprice.com/products/Honda_Pilot_TrailSport_2022.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,280,3.5,262,6,all,19,25,8,5,71.2,196.5,78.6,110.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,
57,Honda,HR-V LX 2023,HONDAHR-V LX 2023,23650,https://www.ccarprice.com/products/Honda_HR-V_LX_2023_1.jpg,2.0L Inline-4 Gas,SUV,Petrol,CVT,158,2,138,4,front,26,32,5,4,63.4,179.8,72.4,104.5,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,Yes,,,,Yes,,,,,,
58,Honda,Accord Hybrid EX-L 2023,HONDAACCORD HYBRID EX-L 2023,34640,https://www.ccarprice.com/products/Honda-Accord-Hybrid-EXL-2023.jpg,2.0L Inline-4 Hybrid,Sedan,Hybrid,CVT,143,2,129,4,front,48,48,5,4,57.1,196.1,73.3,111.4,5.8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
59,Honda,Accord Sport 2.0T 2023,HONDAACCORD SPORT 2.0T 2023,33860,https://www.ccarprice.com/products/Honda_Accord_Sport_2.0T_2023_1.jpg,2.0L Turbo Inline-4 Gas,Sedan,Petrol,Automatic,252,2,273,4,front,22,32,5,4,57.1,196.1,73.3,111.4,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
60,Honda,Accord Sport 2.0T 2022,HONDAACCORD SPORT 2.0T 2022,33260,https://www.ccarprice.com/products/Honda_Accord_Sport_2.0T_2022.jpg,2.0L Turbo Inline-4 Gas,Sedan,Petrol,Automatic,252,2,273,4,front,22,32,5,4,57.1,196.1,73.3,111.4,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
61,BMW,M8 Coupe Competition 2023,BMWM8 COUPE COMPETITION 2023,308090,https://www.ccarprice.com/products/BMW_M8_Coupe_Competition_2023.jpg,petrol engine,,Petrol,Automatic,NA,NA,NA,8,all,15,21,4,2,53,191.2,74.9,111.1,5,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,Yes,,,
62,BMW,M6 2022,BMWM6 2022,102900,https://www.ccarprice.com/products/BMW_M6_2022.jpg,Twin Turbo Premium Unleaded V-8 4.4 L,Coupe,Petrol,Automatic,560,4.4,503,8,rear,22,33,4,2,55,196,84,114,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
63,BMW,M6 2023,BMWM6 2023,105990,https://www.ccarprice.com/products/BMW_M6_2023_1.jpg,Twin Turbo Premium Unleaded V-8 4.4 L,Coupe,Petrol,Automatic,560,4.4,503,8,rear,22,33,4,2,55,196,84,114,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
64,BMW,530i xDrive 2023,BMW530I XDRIVE 2023,57100,https://www.ccarprice.com/products/BMW_530i_xDrive_Sedan_2023.jpg,2.0-liter Turbo Inline-4 Gas,Sedan,Petrol,Automatic,248,2,258,NA,all,23,32,5,4,58.2,195.8,73.5,117.1,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,Yes,,,,,,,
65,BMW,530e Plug-In Hybrid 2023,BMW530E PLUG-IN HYBRID 2023,56400,https://www.ccarprice.com/products/BMW_530e_Plug_In_Hybrid_2023_2.jpg,2.0L Turbo Inline-4 Hybrid,Sedan,Hybrid,Automatic,288,2,310,NA,rear,NA,NA,5,4,58.4,195.8,73.5,117.1,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,Yes,,,,,,,
66,BMW,Z4 Roadster 2023,BMWZ4 ROADSTER 2023,52800,https://www.ccarprice.com/products/BMW_Z4_Roadster_2023_1.jpg,2.0L Turbo Inline-4 Gas,Convertible,Petrol,Automatic,255,2,295,4,rear,25,32,2,2,51.4,170.7,73.4,97.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
67,BMW,XM Label Red 2023,BMWXM LABEL RED 2023,185000,https://www.ccarprice.com/products/BMW_XM_Label_Red_2023.jpg,twin-turbo V8 plug-in hybrid (PHEV),SUV,Electric,Automatic,735,NA,NA,NA,all,0,0,5,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,,,,
68,BMW,M8 Competition Coupe 2023,BMWM8 COMPETITION COUPE 2023,134100,https://www.ccarprice.com/products/BMW_M8_Competition_Coupe_2023.jpg,4.4-liter Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,617,4.4,553,NA,all,15,21,4,2,53,191.2,74.9,111.1,5,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,
69,BMW,M440i Coupe 2024,BMWM440I COUPE 2024,58250,https://www.ccarprice.com/products/BMW_M440i_Coupe_2024.jpg,3.0L Turbo Inline-6 Gas,Coupe,Petrol,Automatic,382,3,369,6,rear,24,32,4,2,54.8,188,72.9,112.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,,,,,,Yes,,,,,
70,BMW,430i Coupe 2023,BMW430I COUPE 2023,47400,https://www.ccarprice.com/products/BMW_430i_Coupe_2023.jpg,2.0L Turbo Inline-4 Gas,Coupe,Petrol,Automatic,255,2,295,4,rear,25,34,4,2,54.6,187.9,72.9,112.2,4.6,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,Yes,,,,,,,
71,BMW,2 Series M235i xDrive Gran Coupe 2023,BMW2 SERIES M235I XDRIVE GRAN COUPE 2023,46400,https://www.ccarprice.com/products/BMW_2_Series_M235i_xDrive_Gran_Coupe_2023.jpg,2.0L Turbo Inline-4 Gas,Sedan,Unknown,Automatic,301,2,332,NA,all,24,33,5,4,55.9,178.5,70.9,105.1,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,,,,,Yes,,,,,,
72,BMW,ALPINA XB7 xDrive 2023,BMWALPINA XB7 XDRIVE 2023,145000,https://www.ccarprice.com/products/BMW_Alpina_XB7_xDrive_2023_1.jpg,4.4-liter Twin-Turbo V8 Gas,SUV,Petrol,Automatic,630,4.4,590,8,all,NA,NA,7,5,70.7,203.3,78.7,122.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,,,,,,,
73,BMW,M550i Xdrive 2022,BMWM550I XDRIVE 2022,77790,https://www.ccarprice.com/products/BMW_M550i_Xdrive_2022.jpg,4.4L Twin-Turbo V8 Gas,Sedan,Petrol,Automatic,523,4.4,553,8,all,17,25,5,4,58.4,195.8,73.5,117.1,5.1,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,Yes,,,,,,,
74,BMW,X4 xDrive30i 2022,BMWX4 XDRIVE30I 2022,89000,https://www.ccarprice.com/products/BMW_X4_2022.jpg,2.0-liter Turbo Inline-4 Gas,SUV,Petrol,Automatic,248,2,258,4,all,21,28,5,4,63.8,187.6,75.5,112.8,7.2,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,,Yes,,Yes,,,,,
75,BMW,M3 CS 2022,BMWM3 CS 2022,170500,https://www.ccarprice.com/products/BMW_M3_CS_Sedan_2022.jpg,3.0L Twin-Turbo Inline-6 Gas,Hatchback,Petrol,Automatic,540,3,479,6,rear,16,23,5,4,56.4,189.1,74.3,112.5,6.2,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,
76,BMW,2 Series 230i 2023,BMW2 SERIES 230I 2023,37400,https://www.ccarprice.com/products/BMW_2_Series_230i_Coupe_2023.jpg,2.0L Turbo Inline-4 Gas,Coupe,Petrol,Automatic,255,2,295,NA,rear,26,35,4,2,54.8,179,72.4,107.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,Yes,Yes,,,,,
77,BMW,X5 Hybrid 2022,BMWX5 HYBRID 2022,63700,https://www.ccarprice.com/products/BMW_X5_Hybrid_2022.jpg,3.0L Turbo Inline-6 Hybrid,SUV,Hybrid,Automatic,389,3,443,6,all,21,26,5,4,68.7,194.3,78.9,117.1,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,,,,
78,BMW,X6 xDrive40i 2022,BMWX6 XDRIVE40I 2022,67950,https://www.ccarprice.com/products/BMW_X6_2022.jpg,3.0L Turbo Inline-6 Gas,SUV,Petrol,Automatic,335,3,330,6,all,21,25,5,4,66.3,194.8,78.9,117.1,6.2,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
79,BMW,2 Series 228i Gran Coupe 2023,BMW2 SERIES 228I GRAN COUPE 2023,36600,https://www.ccarprice.com/products/BMW_2_Series_228i_Gran_Coupe_2023.jpg,2.0L Turbo Inline-4 Gas,Sedan,Petrol,Automatic,228,2,258,4,front,24,34,5,4,55.9,178.5,70.9,105.1,5.2,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,Yes,,,,,,,
80,BMW,M240i Coupe 2022,BMWM240I COUPE 2022,43990,https://www.ccarprice.com/products/BMW_M240i_Coupe_2022.jpg,3.0L Turbo Inline-6 Gas,Coupe,Petrol,Automatic,382,3,369,6,rear,23,32,4,2,55.3,179.4,72.4,107.9,5.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
81,BMW,2 Series Gran Coupe 2022,BMW2 SERIES GRAN COUPE 2022,34650,https://www.ccarprice.com/products/BMW_2_Series_Gran_Coupe_2022.jpg,2.0L Turbo Inline-4 Gas,,Petrol,Automatic,228,2,258,NA,front,24,34,5,4,55.9,178.5,70.9,105.1,5.2,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,Yes,,,,,
82,BMW,4 Series Convertible 2022,BMW4 SERIES CONVERTIBLE 2022,54290,https://www.ccarprice.com/products/BMW_4_Series_Convertible_2022.jpg,3.0L Turbo Inline-6 Gas,Convertible,Petrol,Automatic,382,3,369,6,rear,14,19,4,2,54.6,187.9,72.9,112.2,8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,,
83,BMW,Alpina B8 Luxury High Performance Gran Coupe 2022,BMWALPINA B8 LUXURY HIGH PERFORMANCE GRAN COUPE 2022,148090,https://www.ccarprice.com/products/BMW_Alpina_B8_Luxury_High_Performance_Gran_Coupe_2022.jpg,4.4L Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,612,4.4,590,8,all,21,24,5,4,56,200.4,76.1,119,5.3,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,,,,,
84,BMW,X6 xDrive40i 2023,BMWX6 XDRIVE40I 2023,70100,https://www.ccarprice.com/products/BMW_X6_2023.jpg,3.0L Turbo Inline-6 Gas,SUV,Petrol,Automatic,335,3,330,6,all,21,25,5,4,66.3,194.8,78.9,117.1,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,
85,BMW,X5 Hybrid 2023,BMWX5 HYBRID 2023,65700,https://www.ccarprice.com/products/BMW_X5_Hybrid_2023.jpg,3.0L Turbo Inline-6 Hybrid,SUV,Hybrid,Automatic,389,3,443,6,all,NA,NA,5,4,68.7,194.3,78.9,117.1,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,,,,
